product_description,rating_score,number_of_global_rating,current_price,original_price,display_size,disk_size,ram,operating_system
"Acer Aspire 5 A515-46-R3UB | 15.6"" Full HD IPS Display | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | Windows 11 Home in S mode",4.5 ,4123,324.99,389.99,15.6 inches,128 GB,4 GB,Windows 11
"HP Elitebook 850 G3 15.6"" FHD Touchscreen Laptop - Intel Core i5-6300U 2.6 GHz - 16GB - 512GB SSD - Webcam - Bluetooth - Windows 10 Pro (Renewed)",4.3 ,8,289.99,,15.6 inches,512 GB,-,Windows 10 Pro
"HP 2023 17"" FHD IPS Laptop, Windows 11, Intel Quad-Core i5-1135G7 Processor Up to 4.2GHz, 8GB RAM, 512GB SSD, Super-Fast WiFi Speed(Renewed)",,,409.99,,17 inches,512 GB,8 GB,Windows 11
"HP Newest Flagship 15.6 HD Touchscreen IPS Laptop, 4-Core i5-1135G7(Up to 4.2GHz, Beat i7-1060G7), 16GB RAM, 1TBGB PCIe SSD, Iris Xe Graphics, Bluetooth, WiFi, Windows 11 Home S,w/GM Accessories",4.3 ,183,669.00,,15.6 inches,1 TB,16.0 GB,Windows 11 Home
"HP Newest Flagship 14"" HD Business Laptop Computer, 4-Core i5-1135G7(Up to 4.2GHz, Beat i7-1060G7), 16GB RAM, 512GB PCIe SSD, Iris Xe Graphics, Webcam, WiFi, Bluetooth, Win 11 Home, w/GM Accessories",4.4 ,303,569.00,,14 inches,512 GB,16 GB,Windows 11 Home
"Lenovo 2022 IdeaPad 1 15.6"" FHD Laptop, Intel Pentium Silver N6000 Processor, 20GB RAM, 1TB PCIe SSD, 720P HD Webcam, Dolby Audio, 1 Year Office, Blue, Win 11, 32GB Snowbell USB Card",5.0 ,4,369.00,,15.6 inches,1 TB,20 GB,Windows 11
"Dell 2022 Newest Inspiron 15 Laptop, 15.6"" HD Display, Intel Celeron N4020 Processor, 16GB DDR4 RAM, 1TB PCIe SSD, Webcam, HDMI, Wi-Fi, Bluetooth, Windows 11 Home, Black",4.1 ,176,389.00,412.44,15.6 inches,1 TB,16 GB,Windows 11 Home
"Lenovo Newest IdeaPad 1i 14inch HD Laptop, Intel Quad-Core Processor, 4GB RAM, 256GB Storage(128GB eMMC + 128GB SD Card), 1 Year Microsoft 365, WiFi 6, Webcam, HDMI, 10Hr Battery Life, Win 11 S",4.4 ,37,229.00,,14 inches,128 GB,4 GB,Windows 11 S
"ASUS TUF Dash 15 (2022) Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H, GeForce RTX 3060, 16GB DDR5, 512GB SSD, Thunderbolt 4, Windows 11 Home, Off Black, FX517ZM-AS73",4.5 ,1007,1140.00,,15.6 inches,512 GB,16 GB,Windows 11 Home
"HP 2022 Pavilion 15.6"" HD Laptop Computer, Intel Dual-core Pentium Processor, 8GB RAM, 256GB SSD, HD Webcam, Intel UHD Graphics 605, Bluetooth, USB-C, Windows 10 S, Red, 32GB SnowBell USB Card",4.3 ,256,369.00,389.00,15.6 inches,256 GB,8 GB,Windows 10 S
Gateway Newest Touchscreen 11.6 HD 2-in-1 Convertible Laptop in Black Intel N4020 4GB RAM 64GB SSD Mini-HDMI Webcam Windows 10 S (Renewed),4.0 ,217,135.00,299.95,11.6 inches,64 GB,-,Windows 10 S
"HP Laptop, 17.3” HD+ Touchscreen Display, Intel Core i7-1255U Processor, 32GB RAM, 1TB PCIe SSD, Backlit Keyboard, Fingerprint Reader, Wi-Fi, Windows 11 Home, Silver",5.0 ,1,956.00,,17.3 inches,1 TB,32 GB,Windows 11 Home
"Gateway 15.6"" FHD Ultra Slim Laptop, Quad-Core Pentium Silver N5030 up to 3.1GHz, 4GB RAM, 128GB eMMC, WiFi, Bluetooth, Charcoal (Renewed)",3.5 ,65,174.99,249.00,15.6 inches,128 GB,4 GB,Windows 11
"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",4.4 ,92,299.00,319.00,14 inches,256 GB,12.0 GB,Windows 11 Pro
"Lenovo ThinkPad L380 Yoga 2-in-1 Laptop, 13.3"" FHD Touchscreen, Intel Core i5-8250U, 16GB RAM, 256GB SSD, Fingerprint Reader, Backlit Keyboard, Stylus Pen, Windows 10 Pro (Renewed)",3.3 ,9,285.90,299.50,13.3 inches,-,-,Windows 10 Pro
"Tulasi Laptop Computer, 2023 Laptop, Windows 11 Laptop 12GB RAM 256GB NVMe SSD Intel 4-Cores N5095 Laptops 14 inch 1080P IPS Display, WiFi 5, Bluetooth, USB Type C, Webcam",4.0 ,19,319.00,,14 inches,256 GB,12.0 GB,Windows 11 Pro
"ECOHERO Windows 11 Laptop, 15.6 inches FHD(1920 x 1080) IPS Display, Intel Core i3-5005U, 12GB RAM and 512GB SSD Laptop Computer, 2.4G/5G WiFi, BT5.0 and RJ45, Full Functional Type C, Space Gray",4.3 ,112,349.00,,15.6 inches,512 GB,12.0 GB,Windows 11 Pro
"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",4.2 ,104,4 capacities,,14 inches,64 GB,4 GB,Windows 11
"Lenovo 11.6"" 300e Chromebook Non-Touchscreen LCD 2 in 1- MediaTek M8173C Quad-core 2.1GHz 4GB LPDDR3 32GB Flash Memory Chrome OS Model 81H00000US (Renewed)",4.0 ,1078,64.99,79.00,11.6 inches,32 GB,-,Chrome OS
"HP15.6 Inch Laptop, Intel Iris Xe Graphics, 12th Generation Intel Core Processor, 8 GB RAM, 256 GB SSD, Diagonal Full HD Display, Windows 11 Home, Dual Array Microphones, Wi-Fi 6 (15-dy5024nr, 2022)",4.3 ,80,429.99,514.94,15 inches,256 GB,8.0 GB,Windows 11 Home
"Windows 10 Laptop, 13.5"" 3K (3000 x 2000) 3:2 IPS Display Celeron N4020 Quad Core, 6GB RAM 128GB SSD, Mini & Light Notebook PC, Webcam, Type C, Office",2.0 ,2,179.99,199.99,13.5 inches,128 GB,6 GB,Windows 11 Home
"SAMSUNG 2023 14"" HD IPS Chromebook, Intel Celeron Processor Up to 2.80GHz, 4GB Ram, 128GB Storage(64GB SSD+64GB Micro SD), Intel 4K Graphics, Super-Fast 6th Gen WiFi, Chrome OS(Renewed)",4.3 ,9,185.99,,14 inches,128 GB,-,Chrome OS
"ASUS Notebook E210 11.6” Ultra Thin, Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC Storage, Windows 10 Home in S Mode with One Year of Office 365 Personal, E210MA-DB02,Star Black",4.2 ,580,171.00,,11.6 inches,64 GB,4 GB,Windows 10 Home
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 10 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, 2021, Snowflake White)",4.4 ,341,231.85,,14 inches,64 GB,4 GB,Windows 10 Home
"HP 14"" HD IPS Laptop, Windows 11 OS, Intel Celeron Processor Up to 2.60 GHz, 4GB RAM, 64GB SSD, Intel 4K Graphics, Ultra-Fast WiFi, Dale Black(Renewed)",4.5 ,2,196.99,,14 inches,64 GB,-,Windows 11
"HP 2023 Newest 15 inch Laptop, Intel Quad-Core Processor, 8GB RAM, 256GB SSD, Wi-Fi, Bluetooth, HDMI, Windows 11 Home, Bundle with JAWFOAL",4.2 ,38,389.99,,15 inches,256 GB,8.0 GB,Windows 11 Home
"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",4.4 ,92,299.00,319.00,14 inches,256 GB,12.0 GB,Windows 11 Pro
"HP Chromebook 11.6 - Intel Celeron 1.1 GHz, 4GB RMA, 16GB Storage, Chrome OS - 3NU57UT#ABA (Renewed)",3.9 ,172,84.99,291.24,11.6 inches,0 GB,16.0 GB,Chrome OS
"Lenovo 2022 Ideapad 1i 14.0"" HD Laptop, Intel Pentium Silver N5030 Processor, 4GB RAM, 128GB SSD, Intel HD Graphics, HD Webcam, Gray, Win 11 S, 1 Year Office 365, 32GB SnowBell USB Card",4.2 ,22,219.00,,14 inches,128 GB,4 GB,Windows 11 S
"Lenovo 2022 IdeaPad 1 15.6"" FHD Laptop, Intel Pentium Silver N6000 Processor, 20GB RAM, 1TB PCIe SSD, 720P HD Webcam, Dolby Audio, 1 Year Office, Blue, Win 11, 32GB Snowbell USB Card",5.0 ,4,369.00,,15.6 inches,1 TB,20 GB,Windows 11
"Latest_Dell Latitude 7390 13.3"" FHD Display Laptop, 8th Generation Intel Core i5-8350U Processor, 8GB RAM, 256GB SSD, Wireless+Bluetooth, HDMI?Window 10 Pro (Renewed)",4.3 ,122,222.99,235.00,,,,
"HP 2023 Newest 14 Laptop for Productivity and Entertainment,14"" FHD Display, 8GB RAM, 256GB SSD, AMD Ryzen 3 Processor Upto 3.5GHz, Type-C, HDMI, Fast Charge, 10 Hrs Long Battery Life, Windows 11",4.1 ,10,339.45,,14 inches,256 GB,-,Windows 11
"Apple 2023 MacBook Pro Laptop M2 Pro chip with 12‑core CPU and 19‑core GPU: 14.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 1TB SSD Storage. Works with iPhone/iPad; Space Gray",4.5 ,84,2449.99,,14.2 inches,1 TB,16.0 GB,Mac OS
"HP 15.6in Laptop (Intel Pentium Quad-Core N5000, 4GB RAM, 128GB SSD, HDMI, WiFi, Bluetooth, HD Webcam, Windows 10 S) (Renewed)",4.4 ,1341,235.99,,15.6 inches,128 GB,4 GB,Windows 10 Home
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 10 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0030nr, 2021, Pale Rose Gold)",4.4 ,811,237.97,,14 inches,64 GB,4 GB,Windows 10 Home
